User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
USR_00097,24,Male,Student,Android,6.5,3.2,40.3,8.3,3.1,15,2.2,7.3
USR_00098,26,Female,Manager,iOS,7.6,3.9,23.2,6.1,7.6,19,2.8,6.3
USR_00099,41,Female,Creative,Android,9.1,2.9,10.0,5.6,6.1,22,1.6,10.5
USR_00100,18,Male,Healthcare,iOS,9.0,2.3,17.6,7.2,7.8,23,3.4,10.7
USR_00101,61,Female,Student,Android,8.9,4.8,14.3,7.5,7.0,22,3.9,12.0
USR_00102,25,Non-binary,Student,iOS,6.9,2.7,25.8,7.5,7.6,19,1.8,8.0
USR_00103,41,Female,Student,iOS,4.8,1.8,35.6,7.4,7.5,12,4.5,7.9
USR_00104,28,Male,Engineer,iOS,6.4,2.9,38.9,6.0,5.5,16,3.4,7.0
USR_00105,34,Female,Engineer,Both,7.8,2.0,16.5,5.0,5.0,18,3.5,6.6
USR_00106,25,Male,Manager,iOS,6.5,2.6,49.1,6.3,3.0,16,1.6,7.4
USR_00107,52,Non-binary,Engineer,Both,6.2,3.2,25.1,5.4,5.0,20,3.8,4.9
USR_00108,52,Female,Engineer,Android,7.8,1.6,42.8,7.3,6.5,19,1.8,9.3
USR_00109,50,Male,Manager,Android,7.4,3.2,30.0,7.8,7.8,14,2.0,6.9
USR_00110,22,Female,Engineer,Android,7.6,3.0,26.5,7.0,6.7,22,1.3,11.0
USR_00111,59,Male,Engineer,Android,4.2,2.2,36.8,6.8,7.7,16,5.9,5.3
USR_00112,56,Non-binary,Student,iOS,9.8,2.8,10.0,6.4,9.7,26,3.4,8.9
USR_00113,58,Non-binary,Student,Android,9.2,4.6,12.9,8.0,8.6,28,2.4,10.6
USR_00114,45,Female,Manager,iOS,10.8,3.3,10.0,4.6,5.1,27,3.4,13.8
USR_00115,24,Male,Engineer,iOS,6.5,2.3,13.0,5.4,7.6,25,3.0,9.0
USR_00116,26,Female,Creative,iOS,5.8,1.6,60.0,9.0,4.1,10,2.3,5.3
USR_00117,25,Male,Sales,iOS,8.1,4.1,10.0,5.3,7.5,19,3.9,6.5
USR_00118,29,Male,Creative,iOS,7.8,2.1,32.0,7.4,7.8,21,2.6,7.4
USR_00119,51,Female,Manager,Android,9.5,4.8,40.5,7.7,3.8,21,2.7,8.3
USR_00120,50,Male,Sales,Android,5.4,1.9,28.4,4.5,2.1,17,5.5,5.0
USR_00121,65,Male,Healthcare,iOS,7.2,3.5,10.0,4.7,6.7,19,1.8,6.3
USR_00122,40,Non-binary,Engineer,iOS,6.8,2.0,53.2,8.3,7.8,16,1.7,6.7
USR_00123,41,Male,Manager,Android,9.9,2.4,11.6,5.6,5.4,26,3.7,8.1
USR_00124,54,Male,Sales,iOS,7.6,3.0,15.1,5.7,4.1,19,4.5,11.3
USR_00125,52,Female,Student,Android,9.9,3.7,10.0,6.2,5.2,26,6.1,15.5
USR_00126,61,Male,Engineer,Android,12.0,3.9,15.6,5.6,4.3,29,3.5,16.0
USR_00127,57,Female,Creative,Android,5.1,2.2,67.4,7.4,3.4,6,1.4,5.2
USR_00128,39,Non-binary,Creative,iOS,8.2,1.9,18.9,5.4,2.6,23,4.5,9.7
USR_00129,44,Female,Engineer,iOS,6.6,2.8,11.0,4.4,5.3,16,3.7,7.4
USR_00130,52,Female,Manager,Android,5.7,1.6,62.1,8.2,4.9,11,2.7,5.1
USR_00131,18,Male,Engineer,Android,5.4,1.3,14.4,5.4,8.3,12,1.6,7.1
USR_00132,52,Male,Creative,iOS,11.6,6.0,10.0,5.9,7.4,28,4.5,13.1
USR_00133,54,Female,Student,Android,9.2,3.3,27.6,7.8,6.3,18,1.9,15.1
USR_00134,64,Female,Student,Android,6.4,3.0,50.0,6.9,4.4,13,3.4,7.4
USR_00135,31,Female,Creative,iOS,9.3,2.2,10.0,8.1,8.9,22,3.1,9.4
USR_00136,20,Male,Manager,Android,4.3,0.9,58.9,7.8,6.8,10,3.0,5.4
USR_00137,18,Male,Healthcare,iOS,8.1,3.0,10.0,6.3,9.3,17,3.5,11.7
USR_00138,22,Male,Manager,Android,5.3,1.6,58.3,8.0,3.9,9,1.7,7.0
USR_00139,43,Female,Student,iOS,9.9,2.0,32.4,7.0,6.0,22,2.1,6.7
USR_00140,31,Male,Healthcare,iOS,10.3,2.7,10.0,6.1,6.8,26,4.2,10.0
USR_00141,56,Female,Engineer,iOS,9.1,2.5,19.4,7.1,6.8,20,3.0,13.0
USR_00142,44,Female,Student,Android,9.1,2.7,10.0,5.2,6.2,25,2.8,9.8
USR_00143,26,Male,Student,iOS,5.8,2.9,52.8,7.8,4.8,17,2.1,4.1
USR_00144,32,Female,Healthcare,iOS,8.2,2.8,32.6,7.6,4.6,25,3.3,8.5
USR_00145,32,Male,Sales,iOS,4.8,2.1,58.7,6.9,6.0,13,2.3,5.6
USR_00146,43,Female,Sales,iOS,4.6,0.9,11.0,4.5,6.1,12,5.2,4.3
USR_00147,59,Female,Manager,iOS,7.6,3.7,34.2,8.2,7.7,23,2.7,6.8
USR_00148,30,Female,Student,Both,7.7,2.2,39.3,7.3,4.0,15,2.3,7.3
USR_00149,49,Female,Manager,Android,9.3,2.9,10.0,6.8,9.2,25,3.9,9.3
USR_00150,56,Male,Creative,Android,4.6,1.0,55.5,6.6,4.4,14,2.6,2.8
USR_00151,49,Male,Student,iOS,4.0,1.4,62.1,6.2,4.4,9,3.4,4.0
USR_00152,21,Female,Sales,Android,6.5,3.2,45.4,6.4,5.9,18,3.0,4.8
USR_00153,47,Male,Student,Both,5.1,1.7,66.0,7.7,3.9,11,0.8,6.2
USR_00154,54,Male,Sales,iOS,7.9,4.1,23.9,6.2,4.3,19,1.9,11.5
USR_00155,40,Male,Creative,iOS,5.9,3.0,30.0,6.5,7.5,15,3.5,9.1
USR_00156,56,Female,Creative,Android,11.5,2.5,17.7,6.6,8.2,29,2.8,13.6
USR_00157,62,Male,Student,Android,8.9,2.7,10.0,6.7,9.0,18,5.4,7.4
USR_00158,32,Female,Engineer,iOS,6.6,3.4,40.7,6.1,4.5,14,2.2,7.2
USR_00159,60,Non-binary,Manager,Both,4.9,1.0,66.7,6.6,5.0,12,1.6,5.6
USR_00160,46,Male,Student,Both,5.3,2.5,46.2,7.2,7.2,14,3.1,5.0
USR_00161,53,Male,Engineer,Android,7.0,3.6,23.8,5.7,7.0,19,3.6,5.0
USR_00162,30,Male,Manager,Android,6.1,2.9,37.2,6.6,5.5,15,3.9,5.1
USR_00163,49,Female,Manager,Android,4.0,1.8,43.8,9.1,5.5,13,0.1,8.1
USR_00164,24,Male,Healthcare,iOS,9.4,4.7,16.7,6.7,4.7,22,4.4,10.9
USR_00165,39,Male,Healthcare,Android,4.7,2.0,47.1,5.7,4.1,14,1.8,4.9
USR_00166,45,Male,Engineer,Android,7.9,2.7,10.0,5.5,5.9,19,4.4,9.2
USR_00167,19,Female,Sales,Android,8.2,1.8,10.0,5.3,6.2,17,5.4,7.1
USR_00168,59,Male,Engineer,Android,4.5,2.1,57.8,8.8,6.4,19,3.5,4.7
USR_00169,62,Female,Manager,Both,6.9,3.6,43.9,8.0,7.1,18,1.7,9.2
USR_00170,23,Female,Manager,iOS,4.9,1.9,33.8,5.3,6.6,6,3.2,6.4
USR_00171,45,Male,Creative,Android,8.6,3.3,30.0,7.1,7.8,24,3.9,4.7
USR_00172,45,Female,Engineer,Android,7.6,2.6,42.7,8.3,6.7,19,2.8,9.1
USR_00173,61,Male,Manager,Android,7.2,3.6,41.3,6.8,6.1,20,2.0,5.5
USR_00174,61,Female,Healthcare,Android,5.8,1.2,43.3,6.2,6.0,16,3.2,9.0
USR_00175,37,Female,Student,Android,9.4,3.9,18.4,9.5,6.0,21,2.2,10.2
USR_00176,47,Female,Healthcare,iOS,6.3,3.3,11.6,4.5,5.0,18,4.1,9.3
USR_00177,28,Male,Sales,Android,5.1,1.2,38.5,10.0,7.6,10,1.8,5.9
USR_00178,45,Male,Sales,Android,6.6,3.5,27.5,6.9,9.3,14,1.4,10.9
USR_00179,42,Male,Engineer,Android,3.0,1.6,82.6,8.3,3.7,6,1.5,4.6
USR_00180,56,Male,Student,iOS,5.4,2.8,33.9,5.4,3.6,10,1.4,5.5
USR_00181,50,Male,Student,iOS,6.4,2.3,24.9,5.9,8.3,17,2.8,7.2
USR_00182,18,Male,Manager,iOS,8.9,3.0,10.0,5.5,7.0,28,4.1,9.3
USR_00183,44,Male,Student,iOS,9.0,4.0,14.3,6.7,8.1,19,2.8,8.2
USR_00184,30,Male,Student,iOS,7.3,2.3,40.7,7.2,4.6,22,2.7,9.8
USR_00185,58,Female,Sales,Android,10.0,2.2,23.7,8.1,9.4,23,2.0,8.9
USR_00186,20,Female,Sales,Both,4.3,2.2,34.0,4.7,3.2,8,3.3,3.6
USR_00187,56,Male,Engineer,Android,8.5,3.6,34.9,7.0,8.2,17,2.2,6.9
USR_00188,23,Male,Student,Android,5.0,1.4,45.8,7.9,7.0,13,1.6,4.8
USR_00189,25,Male,Manager,iOS,6.5,1.3,50.2,8.1,6.1,12,2.5,9.2
USR_00190,44,Non-binary,Student,Android,7.2,3.3,33.8,6.3,3.6,16,2.2,9.4
USR_00191,26,Male,Healthcare,Both,5.5,2.7,45.4,6.3,3.3,17,0.0,4.6
USR_00192,54,Female,Healthcare,iOS,11.3,3.9,10.0,6.7,9.4,32,3.3,12.2
USR_00193,50,Non-binary,Sales,iOS,7.0,1.6,38.1,7.0,7.1,14,2.1,11.5
USR_00194,59,Female,Creative,iOS,8.5,3.6,44.5,8.4,5.1,20,1.6,5.9
USR_00195,61,Female,Manager,Both,6.6,2.0,21.5,5.3,5.3,16,4.7,8.7
USR_00196,41,Female,Healthcare,Both,7.3,1.8,25.7,5.9,5.3,13,4.0,10.3
USR_00197,32,Non-binary,Student,iOS,7.5,2.8,10.0,5.2,8.9,17,4.1,9.8
USR_00198,49,Female,Healthcare,iOS,8.3,3.1,23.1,7.3,8.3,18,3.2,10.4
USR_00199,49,Female,Manager,Android,10.9,4.2,26.5,8.1,7.8,28,3.5,7.3
USR_00200,41,Female,Engineer,Android,10.4,5.1,10.0,5.1,7.2,26,3.2,13.9
USR_00201,58,Female,Student,iOS,6.5,2.4,38.9,6.9,6.1,16,3.1,6.8
USR_00202,29,Female,Student,Both,5.7,2.9,61.6,8.0,2.2,13,1.9,7.9
USR_00203,56,Male,Sales,iOS,7.1,3.5,36.7,7.7,5.1,21,2.8,6.7
USR_00204,19,Male,Student,Both,9.0,3.9,23.9,7.7,7.9,22,3.3,8.6
USR_00205,20,Male,Student,iOS,10.4,2.3,10.0,5.4,5.1,28,3.5,9.7
USR_00206,54,Male,Student,Android,9.3,4.7,34.0,7.7,4.9,25,2.3,12.5
USR_00207,34,Male,Healthcare,Android,7.2,3.7,22.0,6.6,7.3,18,3.9,8.1
USR_00208,19,Male,Engineer,Android,8.0,2.7,42.5,8.1,5.8,22,2.5,10.7
USR_00209,19,Female,Sales,Android,8.4,3.2,20.8,7.3,8.4,20,2.9,8.6
USR_00210,45,Male,Sales,iOS,6.0,1.8,55.1,5.8,5.2,12,1.3,6.4
USR_00211,40,Female,Healthcare,Both,9.1,1.9,30.7,7.1,5.9,22,2.1,13.3
USR_00212,54,Male,Healthcare,iOS,1.9,0.7,94.1,7.8,3.1,9,3.3,1.0
USR_00213,49,Male,Engineer,Android,9.3,2.3,12.5,6.2,6.5,23,4.0,13.2
USR_00214,50,Female,Student,Android,8.3,2.2,25.0,7.0,6.8,19,3.0,11.6
USR_00215,18,Female,Creative,Android,3.8,1.4,39.6,5.2,5.2,7,2.8,4.3
USR_00216,36,Male,Engineer,iOS,5.4,2.7,61.2,7.5,6.0,8,3.0,4.8
USR_00217,19,Female,Student,Android,3.4,1.7,56.8,6.7,5.4,6,0.6,3.9
USR_00218,61,Female,Healthcare,Android,10.2,5.5,24.9,7.9,5.5,26,2.8,12.7
USR_00219,43,Male,Student,Android,4.4,1.6,72.1,7.4,2.4,10,1.2,3.4
USR_00220,49,Male,Sales,Android,8.7,3.4,33.9,6.3,5.3,22,3.0,6.8
USR_00221,23,Non-binary,Engineer,Both,8.3,4.0,26.7,5.8,3.8,18,3.2,10.7
USR_00222,49,Female,Creative,Android,6.2,2.8,39.8,5.5,3.2,18,2.7,7.1
USR_00223,21,Female,Manager,Android,6.5,1.7,25.0,6.2,7.4,18,4.0,5.4
USR_00224,28,Female,Creative,Android,7.7,2.6,51.3,7.9,4.2,17,1.9,10.3
USR_00225,34,Male,Student,Android,7.3,3.8,10.0,4.7,4.6,14,2.7,7.7
USR_00226,55,Male,Manager,iOS,7.9,2.0,43.9,5.6,2.5,20,3.6,7.1
USR_00227,41,Male,Sales,iOS,3.9,1.1,86.7,7.8,1.7,5,2.0,2.9
USR_00228,22,Female,Manager,iOS,9.9,3.4,17.3,8.4,8.4,20,4.3,14.1
USR_00229,51,Female,Student,iOS,8.8,4.7,12.4,5.6,2.9,20,3.0,6.6
USR_00230,23,Female,Manager,Android,7.1,1.7,10.0,5.5,6.9,15,4.0,5.6
USR_00231,39,Male,Creative,iOS,5.7,2.5,44.3,8.5,6.3,18,3.7,3.6
USR_00232,28,Male,Manager,Android,7.2,1.8,24.2,6.7,8.5,17,3.2,7.8
USR_00233,65,Female,Sales,Android,5.0,1.9,64.1,5.7,2.2,13,1.4,4.7
USR_00234,33,Female,Student,iOS,7.6,2.9,26.9,8.1,8.2,12,3.5,6.1
USR_00235,50,Female,Manager,iOS,6.1,1.3,47.2,7.4,6.5,9,4.1,5.4
USR_00236,26,Male,Creative,iOS,7.3,3.9,46.9,7.7,3.1,16,2.2,7.0
USR_00237,23,Female,Healthcare,Android,9.1,4.4,10.0,5.8,8.3,23,4.5,6.6
USR_00238,33,Male,Sales,Android,7.6,2.3,34.0,7.2,9.0,15,2.0,10.3
USR_00239,46,Non-binary,Sales,Both,3.8,0.9,66.6,8.3,5.9,10,2.8,6.5
USR_00240,20,Male,Manager,Android,9.1,2.9,12.0,7.6,9.5,26,2.9,12.6
USR_00241,37,Female,Engineer,Android,5.2,2.7,46.1,7.9,7.7,10,1.3,5.5
USR_00242,53,Male,Engineer,Android,8.3,2.0,34.6,8.5,7.7,20,3.3,11.4
USR_00243,36,Female,Creative,Android,6.8,2.2,50.2,7.3,4.0,16,1.8,6.9
USR_00244,43,Male,Sales,Android,5.6,2.1,56.9,6.1,2.3,12,3.2,5.9
USR_00245,20,Male,Student,iOS,7.3,1.5,52.8,7.9,2.0,19,1.3,8.4
USR_00246,36,Male,Engineer,iOS,7.4,2.2,37.7,5.5,4.3,18,1.5,8.1
USR_00247,37,Male,Engineer,Both,8.7,3.6,14.4,6.5,8.2,21,2.6,10.4
USR_00248,49,Male,Creative,Android,8.8,2.8,25.0,7.5,6.0,22,3.9,11.7
USR_00249,24,Non-binary,Student,Android,6.8,3.4,10.0,3.0,6.8,19,3.9,10.4
USR_00250,58,Male,Manager,iOS,6.5,3.4,40.5,7.1,6.0,18,3.0,6.8
USR_00251,50,Female,Manager,iOS,9.9,3.5,23.2,7.2,8.2,19,3.3,9.1
USR_00252,57,Female,Creative,iOS,8.8,3.4,10.0,5.4,7.0,19,3.6,14.0
USR_00253,56,Female,Healthcare,iOS,6.5,2.7,30.2,7.2,6.3,18,4.8,8.6
USR_00254,35,Male,Healthcare,Android,4.3,1.9,38.6,7.0,8.1,18,3.1,5.0
USR_00255,57,Male,Engineer,iOS,8.8,2.0,15.3,6.8,8.5,20,1.3,13.1
USR_00256,18,Female,Manager,iOS,7.5,1.6,50.4,8.2,3.9,14,2.1,11.5
USR_00257,28,Non-binary,Creative,Android,5.8,2.9,39.6,7.9,8.2,21,3.0,6.0
USR_00258,45,Male,Sales,iOS,5.3,1.5,66.0,7.6,4.3,17,1.4,2.8
USR_00259,42,Male,Student,iOS,6.8,2.8,20.1,5.6,6.9,20,3.2,5.0
USR_00260,40,Female,Engineer,Android,8.1,3.4,35.6,6.8,6.1,20,2.8,9.3
USR_00261,48,Non-binary,Engineer,Android,10.7,2.8,36.7,8.2,2.5,26,4.1,13.0
USR_00262,47,Male,Student,Android,9.9,4.6,10.0,6.5,7.8,24,2.6,13.2
USR_00263,59,Male,Creative,iOS,3.7,1.9,69.1,8.7,3.0,11,3.3,2.8
USR_00264,52,Female,Engineer,Android,7.3,2.2,42.2,7.6,8.7,22,2.9,5.7
USR_00265,24,Male,Manager,Android,6.3,3.2,39.6,8.9,3.3,16,3.3,6.5
USR_00266,33,Male,Student,Android,8.2,1.9,10.0,5.5,5.9,22,4.7,10.5
USR_00267,43,Female,Engineer,iOS,5.9,2.8,40.1,6.6,6.2,18,3.5,9.9
USR_00268,65,Female,Manager,iOS,8.4,3.6,27.3,6.7,6.2,23,3.0,7.5
USR_00269,19,Male,Student,iOS,7.0,2.8,20.1,7.5,8.1,19,4.2,5.8
USR_00270,18,Male,Student,Android,8.3,2.3,26.4,5.9,5.9,18,1.8,7.6
USR_00271,65,Male,Creative,Both,7.3,2.4,11.1,4.9,5.4,16,3.6,5.1
USR_00272,29,Female,Manager,iOS,11.3,5.9,17.1,7.3,6.9,23,1.7,9.6
USR_00273,22,Female,Engineer,iOS,8.7,3.2,27.7,6.4,4.8,22,3.8,8.5
USR_00274,54,Male,Sales,Android,10.4,4.2,10.0,6.2,8.3,26,3.5,8.4
USR_00275,49,Male,Healthcare,Android,6.3,3.3,10.0,6.0,8.9,19,3.4,8.7
USR_00276,26,Female,Creative,iOS,5.9,2.1,48.2,6.9,4.5,16,2.5,9.6
USR_00277,58,Female,Engineer,Android,8.9,3.0,10.0,5.5,9.3,21,4.3,11.1
USR_00278,52,Female,Engineer,iOS,5.7,2.9,38.3,6.6,8.0,12,1.5,8.9
USR_00279,36,Female,Engineer,iOS,9.5,4.9,10.0,5.8,7.2,24,5.3,12.3
USR_00280,65,Male,Engineer,iOS,8.0,2.6,28.7,6.1,7.7,20,3.2,9.2
USR_00281,33,Female,Manager,Both,9.5,3.9,24.1,7.2,6.9,29,1.7,9.3
USR_00282,20,Female,Sales,iOS,8.8,4.7,15.9,7.6,8.0,21,0.4,8.5
